"ID";"TypesOfVehicle";"Periods";"TotalKilometresInTheNetherlands_1";"KilometresByDutchVehicles_2";"KilometresByForeignVehicles_3";"TotalKilometresByDutchVehicles_4";"KilometresInTheNetherlands_5";"KilometresAbroad_6"
"138";"A018937";"2004JJ00";"  3825.0";"  3323.3";"   501.6";"  6544.8";"  3323.3";"  3221.4"
"139";"A018937";"2005JJ00";"  3990.0";"  3449.2";"   540.8";"  6727.5";"  3449.2";"  3278.3"
"140";"A018937";"2006JJ00";"  4187.5";"  3577.0";"   610.5";"  6948.3";"  3577.0";"  3371.3"
"141";"A018937";"2007JJ00";"  4370.0";"  3692.9";"   677.1";"  7187.0";"  3692.9";"  3494.1"
"142";"A018937";"2008JJ00";"  4578.1";"  3913.3";"   664.8";"  7235.1";"  3913.3";"  3321.8"
"143";"A018937";"2009JJ00";"  4557.8";"  3930.6";"   627.2";"  6957.3";"  3930.6";"  3026.7"
"144";"A018937";"2010JJ00";"  4628.7";"  4051.7";"   576.9";"  6750.6";"  4051.7";"  2698.9"
"145";"A018937";"2011JJ00";"  4623.3";"  4062.5";"   560.8";"  6825.9";"  4062.5";"  2763.4"
"146";"A018937";"2012JJ00";"  4610.8";"  4053.7";"   557.0";"  6662.7";"  4053.7";"  2609.0"
"147";"A018937";"2013JJ00";"  4408.7";"  3848.4";"   560.3";"  6566.2";"  3848.4";"  2717.8"
"148";"A018937";"2014JJ00";"  4477.5";"  3903.0";"   574.6";"  6559.3";"  3903.0";"  2656.3"
"149";"A018937";"2015JJ00";"  4747.8";"  4129.8";"   618.1";"  6618.4";"  4129.8";"  2488.6"
"150";"A018937";"2016JJ00";"  5106.8";"  4423.9";"   682.9";"  6774.9";"  4423.9";"  2351.0"
"151";"A018937";"2017JJ00";"  5199.9";"  4455.3";"   744.6";"  6880.8";"  4455.3";"  2425.5"
"152";"A018937";"2018JJ00";"  5264.7";"  4522.9";"   741.8";"  6979.1";"  4522.9";"  2456.2"
"153";"A018937";"2019JJ00";"  5341.7";"  4587.3";"   754.3";"  6913.1";"  4587.3";"  2325.7"
"154";"A018937";"2020JJ00";"  5364.8";"  4581.2";"   783.6";"  6777.4";"  4581.2";"  2196.2"
"155";"A018939";"1990JJ00";"   319.0";"   307.0";"    12.0";"   392.0";"   307.0";"    85.0"
"156";"A018939";"1991JJ00";"   313.0";"   301.0";"    12.0";"   385.0";"   301.0";"    84.0"
